,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
7787,1.5829408041200272,499.24370012291706,0.3165881610490819,27.43236413080342,113.98756728469452,19.644295375917824,16.13016679139627
7788,1.4955436564000726,470.6625440122011,0.29910873151823,27.05438473918571,104.31417001342207,18.73916201125782,14.431996281683665
7789,1.305464967560859,412.12223550188367,0.26109299378502737,22.17984979340175,86.50010872830939,17.12770037026205,11.213944068757435
7790,1.2831071459079721,407.32236335859983,0.2566214294591981,21.876976832157787,75.95994301754241,18.81035075426765,10.880748594702338
7791,1.46737514373079,468.0779970021257,0.29347502898894123,27.718716459642394,76.84643626158291,21.203570822825895,12.032476176406284
7792,1.415483648558262,458.44684399341304,0.28309672996332563,25.761802398346255,76.46442667842773,20.793454793011637,13.192307601944133
7793,1.4383240703157896,468.97994626646766,0.2876648143108392,28.953463529530797,119.09323299680709,22.19334040050257,14.225025052669292
7794,1.3433269935439862,436.4603733649406,0.268665398973972,32.61597939552652,132.14307632262594,21.372332462339553,13.245204153405114
7795,1.321243097285926,426.33872252374357,0.26424861972678654,29.437296200354407,134.68752130328778,21.100252258608105,12.855695333648207
7796,1.365148583554665,442.26718650879246,0.2730297169718743,26.606745887445726,135.3817849990751,21.432832757010534,13.69244029010617
7797,1.3433033905164984,439.9049942180527,0.2686606783684791,22.51376481982922,115.28229694599206,17.08681912348259,13.31213659706327
7798,1.1391929581075713,373.6894659201266,0.22783859193413422,14.182952323961393,84.7901318432286,11.11852326770406,10.412223633919842
7799,0.6622462792277062,214.93202970575683,0.1324492563828077,3.569507442085256,43.98639782230819,4.973469552622282,5.966838970455079
7800,0.5068144188456916,160.7260563708097,0.10136288447096746,0.6487224558766151,24.362569072561584,1.4596255246244305,4.394081004654591
7801,0.44665552317721835,141.116345678723,0.08933110543178041,0.004466556229601098,19.416115550186657,0.4287893022899653,3.5598445127765674
7802,0.5521964286129489,172.04784101249473,0.11043928636677947,0.005521965089473272,19.82385175906239,0.005521965089473272,4.3126541019761
7803,0.5472068268205078,169.20182267036705,0.10944136601415973,0.005472069079012183,18.659752767645273,0.005472069079012183,4.268213243667066
7804,0.2997864419844751,91.45884726936555,0.05995728958399658,0.002997865925686905,10.798307588312811,0.002997865925686905,2.4552509491846832
7805,0.36800360938217497,111.85837674143467,0.07360072284310072,0.0036800373116461726,12.534202895578687,0.0036800373116461726,2.973469155247369
7806,0.5904255073924212,178.88712000199033,0.11808510208100732,0.0059042558243700026,21.763084175438184,0.1594148875458377,5.307925305431944
7807,1.7958854158285915,570.3911668427601,0.3591770833641294,8.656167703346044,84.94538015720426,10.649600514640365,17.59967707293678
7808,1.8229309783431462,589.7364007249553,0.3645861958640988,18.72150114531819,120.47750834278767,16.53398397159975,19.304839058309778
7809,1.8652562217325295,602.9254210358395,0.37305124453754357,23.87527963535744,129.15034077645785,20.014199256865624,20.03285181908056
