"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Finland (FI)","23.12.2018 13:00 - 23.12.2018 14:00 (CET)","811","n/e","n/e","954","1013","1","n/e","664","n/e","n/e","n/e","1495","n/e","n/e","2797","199","43","n/e","54","n/e","69"
"Finland (FI)","23.12.2018 14:00 - 23.12.2018 15:00 (CET)","810","n/e","n/e","963","1027","1","n/e","671","n/e","n/e","n/e","1429","n/e","n/e","2797","206","43","n/e","54","n/e","71"
"Finland (FI)","23.12.2018 15:00 - 23.12.2018 16:00 (CET)","819","n/e","n/e","999","1021","1","n/e","678","n/e","n/e","n/e","1480","n/e","n/e","2796","208","43","n/e","54","n/e","75"
"Finland (FI)","23.12.2018 16:00 - 23.12.2018 17:00 (CET)","819","n/e","n/e","1015","1076","1","n/e","699","n/e","n/e","n/e","1639","n/e","n/e","2796","209","43","n/e","54","n/e","78"
"Finland (FI)","23.12.2018 17:00 - 23.12.2018 18:00 (CET)","819","n/e","n/e","1008","1097","1","n/e","716","n/e","n/e","n/e","1724","n/e","n/e","2796","213","43","n/e","54","n/e","76"
"Finland (FI)","23.12.2018 18:00 - 23.12.2018 19:00 (CET)","817","n/e","n/e","976","1104","1","n/e","726","n/e","n/e","n/e","1643","n/e","n/e","2797","215","43","n/e","54","n/e","81"
"Finland (FI)","23.12.2018 19:00 - 23.12.2018 20:00 (CET)","817","n/e","n/e","982","1092","1","n/e","733","n/e","n/e","n/e","1553","n/e","n/e","2796","217","43","n/e","54","n/e","84"
"Finland (FI)","23.12.2018 20:00 - 23.12.2018 21:00 (CET)","811","n/e","n/e","964","1083","1","n/e","731","n/e","n/e","n/e","1390","n/e","n/e","2797","216","43","n/e","54","n/e","108"
"Finland (FI)","23.12.2018 21:00 - 23.12.2018 22:00 (CET)","802","n/e","n/e","976","1055","1","n/e","731","n/e","n/e","n/e","1273","n/e","n/e","2796","213","43","n/e","54","n/e","154"
"Finland (FI)","23.12.2018 22:00 - 23.12.2018 23:00 (CET)","791","n/e","n/e","982","994","1","n/e","728","n/e","n/e","n/e","1185","n/e","n/e","2796","211","43","n/e","54","n/e","198"
"Finland (FI)","23.12.2018 23:00 - 24.12.2018 00:00 (CET)","786","n/e","n/e","973","953","1","n/e","713","n/e","n/e","n/e","1029","n/e","n/e","2796","208","43","n/e","54","n/e","261"
"Finland (FI)","24.12.2018 00:00 - 24.12.2018 01:00 (CET)","791","n/e","n/e","984","926","1","n/e","696","n/e","n/e","n/e","851","n/e","n/e","2796","208","43","n/e","54","n/e","305"
"Finland (FI)","24.12.2018 01:00 - 24.12.2018 02:00 (CET)","778","n/e","n/e","991","923","1","n/e","691","n/e","n/e","n/e","826","n/e","n/e","2797","208","43","n/e","54","n/e","371"
"Finland (FI)","24.12.2018 02:00 - 24.12.2018 03:00 (CET)","796","n/e","n/e","997","922","1","n/e","683","n/e","n/e","n/e","880","n/e","n/e","2796","208","43","n/e","54","n/e","440"
"Finland (FI)","24.12.2018 03:00 - 24.12.2018 04:00 (CET)","795","n/e","n/e","979","923","1","n/e","653","n/e","n/e","n/e","866","n/e","n/e","2796","207","43","n/e","54","n/e","537"
"Finland (FI)","24.12.2018 04:00 - 24.12.2018 05:00 (CET)","801","n/e","n/e","978","925","1","n/e","647","n/e","n/e","n/e","917","n/e","n/e","2797","203","43","n/e","54","n/e","605"
