,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
205,0.0,5536.0,69.0,1325.0,9615.0,214.0,318.0,357.0,0.0,3343.0
206,0.0,5472.0,66.0,1497.0,9702.0,213.0,5.0,349.0,0.0,3559.0
207,0.0,5352.0,64.0,1451.0,9748.0,213.0,0.0,344.0,0.0,3851.0
208,0.0,5728.0,59.0,1193.0,9978.0,214.0,485.0,347.0,0.0,4173.0
209,0.0,5125.0,62.0,1191.0,10061.0,217.0,872.0,351.0,0.0,4349.0
210,0.0,4828.0,68.0,1223.0,9939.0,219.0,847.0,351.0,0.0,4383.0
211,0.0,4639.0,70.0,1157.0,10022.0,219.0,724.0,351.0,0.0,4410.0
212,0.0,4772.0,71.0,1110.0,9918.0,219.0,432.0,336.0,0.0,4320.0
213,0.0,4813.0,71.0,1070.0,9751.0,220.0,43.0,327.0,0.0,4199.0
214,0.0,4366.0,72.0,1081.0,9574.0,219.0,2.0,315.0,0.0,4041.0
215,0.0,3809.0,70.0,1031.0,8819.0,221.0,0.0,305.0,0.0,3977.0
216,0.0,3860.0,68.0,823.0,8382.0,220.0,0.0,287.0,0.0,3716.0
217,0.0,4080.0,70.0,814.0,8337.0,218.0,0.0,287.0,0.0,3397.0
218,0.0,3757.0,73.0,815.0,8244.0,216.0,0.0,287.0,0.0,3406.0
219,0.0,3855.0,74.0,816.0,8290.0,216.0,0.0,287.0,0.0,3201.0
220,0.0,4346.0,72.0,814.0,8532.0,215.0,0.0,283.0,0.0,2993.0
221,0.0,4493.0,72.0,822.0,9045.0,213.0,0.0,283.0,0.0,2747.0
222,0.0,5661.0,72.0,1021.0,9778.0,211.0,0.0,283.0,0.0,2407.0
223,0.0,6163.0,72.0,1036.0,10715.0,213.0,8.0,283.0,0.0,2231.0
224,0.0,6074.0,74.0,1051.0,11003.0,212.0,20.0,304.0,0.0,2195.0
225,0.0,6221.0,72.0,1055.0,11023.0,211.0,143.0,336.0,25.0,1774.0
226,0.0,6202.0,69.0,1052.0,10920.0,212.0,160.0,341.0,28.0,1493.0
227,0.0,6374.0,64.0,1051.0,11151.0,212.0,90.0,344.0,28.0,1288.0
228,0.0,6324.0,59.0,1051.0,11263.0,213.0,28.0,339.0,28.0,1262.0
229,0.0,6347.0,54.0,1052.0,11296.0,214.0,2.0,338.0,28.0,1261.0
230,0.0,6252.0,52.0,1050.0,11070.0,214.0,0.0,338.0,28.0,1327.0
231,0.0,6219.0,51.0,1052.0,10942.0,207.0,0.0,337.0,28.0,1396.0
232,0.0,6362.0,50.0,1060.0,11533.0,213.0,51.0,342.0,28.0,1371.0
233,0.0,6322.0,54.0,1055.0,11501.0,212.0,179.0,350.0,28.0,1435.0
234,0.0,6307.0,57.0,1015.0,11236.0,212.0,197.0,348.0,28.0,1354.0
235,0.0,6355.0,60.0,1013.0,11255.0,213.0,126.0,347.0,28.0,1209.0
236,0.0,6343.0,60.0,1012.0,11139.0,214.0,63.0,343.0,28.0,1224.0
237,0.0,5868.0,62.0,957.0,10444.0,214.0,24.0,342.0,28.0,1117.0
238,0.0,5137.0,62.0,1006.0,10205.0,218.0,14.0,320.0,4.0,1070.0
239,0.0,4379.0,63.0,1022.0,10020.0,221.0,2.0,314.0,0.0,1007.0
240,0.0,3803.0,66.0,850.0,9768.0,219.0,0.0,297.0,0.0,952.0
241,0.0,3784.0,73.0,810.0,9712.0,219.0,0.0,294.0,0.0,898.0
242,0.0,3701.0,74.0,811.0,9587.0,219.0,0.0,294.0,0.0,924.0
243,0.0,3669.0,74.0,810.0,9521.0,218.0,0.0,294.0,0.0,901.0
244,0.0,3858.0,74.0,810.0,9488.0,217.0,0.0,294.0,0.0,915.0
245,0.0,4489.0,70.0,822.0,9516.0,217.0,0.0,294.0,0.0,920.0
246,0.0,5871.0,65.0,1031.0,10508.0,218.0,0.0,294.0,0.0,882.0
247,0.0,6235.0,64.0,1061.0,11934.0,221.0,0.0,289.0,50.0,880.0
248,0.0,6274.0,66.0,1056.0,12119.0,221.0,18.0,311.0,57.0,808.0
249,0.0,6454.0,65.0,1055.0,11891.0,219.0,118.0,335.0,57.0,785.0
250,0.0,6409.0,63.0,1055.0,11486.0,219.0,132.0,336.0,57.0,702.0
251,0.0,6484.0,61.0,1061.0,11555.0,219.0,114.0,336.0,45.0,622.0
252,0.0,6652.0,60.0,1058.0,11602.0,222.0,65.0,336.0,43.0,550.0
253,0.0,6679.0,60.0,1057.0,11581.0,223.0,258.0,344.0,43.0,532.0
254,0.0,6630.0,57.0,1052.0,11458.0,222.0,55.0,346.0,43.0,587.0
255,0.0,6583.0,55.0,1060.0,11560.0,220.0,0.0,346.0,43.0,632.0
256,0.0,6498.0,55.0,1067.0,11908.0,221.0,154.0,345.0,43.0,626.0
257,0.0,6560.0,57.0,1067.0,11829.0,222.0,194.0,345.0,43.0,613.0
258,0.0,6584.0,59.0,1068.0,11461.0,221.0,171.0,350.0,43.0,643.0
259,0.0,6590.0,61.0,1062.0,11456.0,217.0,39.0,351.0,43.0,708.0
260,0.0,6601.0,61.0,1038.0,11155.0,217.0,20.0,351.0,43.0,663.0
261,0.0,6281.0,63.0,1029.0,10341.0,217.0,20.0,353.0,5.0,665.0
262,0.0,6207.0,64.0,1020.0,9745.0,221.0,21.0,314.0,0.0,676.0
263,0.0,5683.0,64.0,872.0,9431.0,223.0,3.0,307.0,0.0,705.0
264,0.0,5076.0,68.0,814.0,9235.0,224.0,0.0,282.0,0.0,760.0
265,0.0,4709.0,71.0,811.0,9195.0,223.0,0.0,279.0,0.0,800.0
266,0.0,4531.0,73.0,811.0,9105.0,223.0,0.0,279.0,0.0,848.0
267,0.0,4272.0,75.0,811.0,9139.0,222.0,0.0,279.0,0.0,845.0
268,0.0,4313.0,75.0,811.0,9249.0,222.0,0.0,278.0,0.0,907.0
269,0.0,4678.0,72.0,821.0,9361.0,223.0,0.0,281.0,0.0,988.0
270,0.0,5665.0,71.0,1026.0,9914.0,224.0,0.0,284.0,0.0,1046.0
271,0.0,6158.0,72.0,1059.0,10631.0,226.0,9.0,284.0,37.0,1188.0
272,0.0,6412.0,74.0,1061.0,10878.0,228.0,19.0,304.0,43.0,1217.0
273,0.0,6510.0,74.0,1061.0,10966.0,230.0,144.0,325.0,43.0,1202.0
274,0.0,6514.0,72.0,1060.0,10984.0,229.0,136.0,326.0,43.0,1218.0
275,0.0,6645.0,67.0,1058.0,11208.0,229.0,147.0,331.0,43.0,1230.0
276,0.0,6611.0,71.0,1054.0,11213.0,229.0,69.0,333.0,43.0,1279.0
277,0.0,6647.0,71.0,1058.0,11239.0,229.0,35.0,334.0,43.0,1284.0
278,0.0,6688.0,72.0,1022.0,11037.0,229.0,4.0,334.0,43.0,1414.0
279,0.0,6629.0,69.0,1004.0,10903.0,228.0,0.0,335.0,30.0,1488.0
280,0.0,6605.0,69.0,1074.0,10976.0,227.0,129.0,334.0,28.0,1602.0
281,0.0,6539.0,68.0,1084.0,10935.0,222.0,173.0,343.0,16.0,1697.0
