,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
304,188.0,3398.0,1412.0,0.0,293.0,73.0,120.0,166.0,1826.0
305,185.0,3501.0,1411.0,18.0,322.0,81.0,122.0,83.0,1689.0
306,186.0,3471.0,1411.0,99.0,325.0,192.0,117.0,4.0,1518.0
307,194.0,3447.0,1412.0,42.0,513.0,138.0,116.0,0.0,1564.0
308,195.0,3607.0,1412.0,189.0,632.0,187.0,121.0,0.0,1393.0
309,193.0,3436.0,1412.0,123.0,676.0,191.0,118.0,0.0,1181.0
310,196.0,3401.0,1411.0,184.0,603.0,181.0,118.0,0.0,1019.0
311,201.0,3255.0,1412.0,122.0,544.0,93.0,120.0,0.0,891.0
312,205.0,2143.0,1574.0,121.0,527.0,179.0,120.0,0.0,819.0
313,208.0,1121.0,1696.0,8.0,638.0,148.0,121.0,0.0,854.0
314,209.0,884.0,1694.0,0.0,348.0,75.0,122.0,0.0,813.0
315,206.0,903.0,1694.0,0.0,329.0,75.0,122.0,0.0,613.0
316,209.0,905.0,1695.0,0.0,375.0,75.0,120.0,0.0,555.0
317,212.0,909.0,1684.0,0.0,269.0,75.0,119.0,0.0,619.0
318,209.0,946.0,1583.0,0.0,260.0,75.0,119.0,0.0,775.0
319,203.0,1132.0,1563.0,0.0,371.0,75.0,117.0,0.0,807.0
320,206.0,1513.0,1683.0,0.0,479.0,75.0,121.0,0.0,641.0
