,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW]
326,5.0,3788.0,2.0,0.0,1201.0,0.0,59.0
327,5.0,3783.0,2.0,0.0,1163.0,0.0,59.0
328,5.0,3800.0,2.0,0.0,1291.0,0.0,58.0
329,5.0,3801.0,2.0,0.0,1332.0,0.0,58.0
330,5.0,3750.0,2.0,0.0,1389.0,0.0,58.0
331,5.0,3686.0,2.0,0.0,1478.0,0.0,59.0
332,5.0,3654.0,2.0,0.0,1523.0,7.0,60.0
333,5.0,3698.0,2.0,0.0,1406.0,18.0,64.0
334,5.0,3678.0,2.0,0.0,1423.0,5.0,63.0
335,5.0,3619.0,2.0,0.0,1416.0,0.0,60.0
336,5.0,3635.0,2.0,0.0,1396.0,0.0,60.0
337,5.0,3644.0,2.0,0.0,1359.0,0.0,60.0
338,5.0,3630.0,2.0,0.0,1054.0,0.0,60.0
339,5.0,3683.0,2.0,0.0,806.0,0.0,60.0
340,5.0,3660.0,2.0,0.0,764.0,0.0,60.0
341,5.0,3651.0,2.0,0.0,921.0,0.0,60.0
342,5.0,3639.0,2.0,0.0,1426.0,36.0,61.0
343,5.0,3592.0,2.0,59.0,1731.0,101.0,59.0
344,5.0,3597.0,2.0,182.0,1643.0,59.0,58.0
345,5.0,3717.0,2.0,0.0,1749.0,50.0,58.0
346,5.0,3614.0,2.0,6.0,1783.0,81.0,58.0
347,5.0,3447.0,2.0,205.0,1794.0,90.0,58.0
348,5.0,3388.0,2.0,282.0,1794.0,71.0,58.0
349,5.0,3382.0,2.0,298.0,1785.0,68.0,58.0
350,5.0,3439.0,2.0,274.0,1752.0,56.0,59.0
351,5.0,3524.0,2.0,198.0,1682.0,44.0,58.0
352,5.0,3477.0,2.0,208.0,1743.0,71.0,57.0
