,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
358,79.0,216.0,553.0,92.0,27.0
359,79.0,216.0,254.0,92.0,33.0
360,79.0,216.0,52.0,92.0,37.0
361,79.0,216.0,50.0,92.0,44.0
362,79.0,216.0,51.0,92.0,45.0
363,79.0,217.0,51.0,92.0,47.0
364,79.0,217.0,74.0,92.0,47.0
365,79.0,226.0,566.0,91.0,47.0
366,78.0,279.0,667.0,91.0,45.0
367,78.0,418.0,1024.0,91.0,47.0
368,78.0,339.0,1063.0,90.0,50.0
369,78.0,333.0,1078.0,90.0,51.0
370,77.0,362.0,899.0,90.0,52.0
371,77.0,423.0,816.0,90.0,52.0
372,77.0,374.0,831.0,90.0,52.0
373,78.0,328.0,831.0,90.0,52.0
374,77.0,328.0,855.0,89.0,52.0
375,77.0,333.0,1008.0,90.0,51.0
376,78.0,392.0,1094.0,90.0,52.0
377,78.0,418.0,1091.0,90.0,49.0
378,78.0,450.0,1012.0,90.0,51.0
379,78.0,419.0,838.0,90.0,50.0
380,79.0,439.0,686.0,92.0,49.0
381,77.0,349.0,571.0,90.0,40.0
382,77.0,319.0,454.0,90.0,41.0
383,77.0,283.0,110.0,90.0,38.0
384,78.0,215.0,45.0,90.0,39.0
385,77.0,216.0,4.0,90.0,40.0
386,77.0,217.0,0.0,90.0,38.0
387,77.0,216.0,0.0,89.0,37.0
388,77.0,216.0,7.0,89.0,30.0
389,76.0,380.0,260.0,88.0,28.0
390,76.0,521.0,597.0,88.0,24.0
391,76.0,525.0,833.0,88.0,20.0
392,76.0,518.0,846.0,88.0,19.0
393,76.0,515.0,706.0,88.0,17.0
394,76.0,515.0,716.0,88.0,13.0
395,76.0,514.0,692.0,88.0,10.0
396,76.0,513.0,683.0,88.0,7.0
397,76.0,512.0,714.0,89.0,4.0
398,76.0,513.0,764.0,88.0,4.0
399,74.0,513.0,913.0,86.0,4.0
400,74.0,514.0,872.0,86.0,4.0
401,75.0,513.0,867.0,87.0,3.0
402,75.0,513.0,729.0,87.0,1.0
403,77.0,511.0,653.0,89.0,1.0
404,76.0,458.0,602.0,88.0,1.0
405,76.0,320.0,450.0,88.0,2.0
406,77.0,254.0,160.0,89.0,1.0
407,76.0,219.0,156.0,88.0,2.0
408,76.0,334.0,224.0,87.0,3.0
409,76.0,364.0,210.0,88.0,2.0
410,76.0,367.0,212.0,88.0,2.0
411,76.0,367.0,212.0,88.0,1.0
412,76.0,375.0,212.0,88.0,2.0
413,76.0,437.0,389.0,88.0,2.0
414,75.0,512.0,580.0,87.0,2.0
415,75.0,515.0,656.0,87.0,3.0
416,75.0,514.0,654.0,87.0,3.0
417,75.0,529.0,735.0,87.0,2.0
418,75.0,513.0,742.0,87.0,1.0
419,75.0,512.0,742.0,87.0,1.0
420,75.0,512.0,741.0,87.0,1.0
421,75.0,513.0,741.0,87.0,2.0
422,77.0,512.0,734.0,89.0,3.0
423,77.0,512.0,683.0,89.0,4.0
424,77.0,512.0,714.0,89.0,4.0
425,77.0,512.0,644.0,90.0,8.0
426,78.0,512.0,639.0,90.0,13.0
427,78.0,513.0,639.0,90.0,13.0
428,78.0,505.0,599.0,90.0,12.0
429,78.0,507.0,332.0,90.0,10.0
430,77.0,502.0,176.0,90.0,5.0
431,75.0,464.0,66.0,87.0,5.0
432,77.0,444.0,4.0,89.0,8.0
433,77.0,445.0,0.0,89.0,8.0
434,77.0,463.0,0.0,89.0,10.0
435,77.0,458.0,0.0,89.0,10.0
436,76.0,485.0,0.0,89.0,9.0
437,76.0,537.0,0.0,88.0,6.0
438,76.0,748.0,267.0,88.0,7.0
439,76.0,902.0,548.0,88.0,6.0
440,75.0,930.0,560.0,87.0,6.0
441,76.0,930.0,632.0,88.0,5.0
