,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Onshore
294,69.0,33.0,1.0,904.0,4.0,3.0,5.0,1.0,16.0,26.0
295,68.0,34.0,1.0,901.0,4.0,3.0,5.0,1.0,16.0,25.0
296,69.0,33.0,1.0,908.0,4.0,3.0,5.0,1.0,16.0,30.0
297,69.0,33.0,1.0,909.0,4.0,3.0,6.0,1.0,16.0,30.0
298,69.0,32.0,1.0,912.0,4.0,3.0,6.0,1.0,15.0,27.0
299,69.0,32.0,1.0,899.0,4.0,3.0,6.0,1.0,16.0,20.0
300,69.0,33.0,1.0,898.0,4.0,3.0,6.0,1.0,17.0,16.0
301,69.0,32.0,1.0,883.0,4.0,3.0,6.0,1.0,17.0,13.0
302,69.0,31.0,1.0,883.0,4.0,3.0,5.0,1.0,16.0,13.0
303,69.0,30.0,1.0,877.0,4.0,3.0,6.0,1.0,17.0,15.0
304,70.0,29.0,1.0,906.0,4.0,3.0,6.0,1.0,17.0,16.0
305,71.0,31.0,1.0,908.0,5.0,3.0,6.0,1.0,16.0,15.0
306,72.0,31.0,1.0,905.0,5.0,3.0,6.0,1.0,15.0,15.0
307,74.0,34.0,1.0,900.0,5.0,3.0,6.0,1.0,15.0,13.0
308,74.0,30.0,1.0,902.0,5.0,3.0,6.0,1.0,16.0,13.0
309,74.0,32.0,1.0,910.0,5.0,3.0,6.0,1.0,15.0,14.0
310,74.0,32.0,1.0,903.0,5.0,3.0,6.0,1.0,15.0,15.0
311,73.0,31.0,1.0,898.0,5.0,3.0,6.0,1.0,16.0,15.0
312,71.0,33.0,1.0,788.0,5.0,3.0,6.0,1.0,15.0,15.0
313,71.0,34.0,1.0,781.0,5.0,3.0,6.0,1.0,15.0,16.0
314,72.0,31.0,1.0,704.0,5.0,3.0,6.0,1.0,14.0,15.0
315,68.0,29.0,1.0,718.0,4.0,3.0,6.0,1.0,14.0,15.0
316,69.0,27.0,1.0,730.0,4.0,3.0,6.0,1.0,14.0,15.0
317,69.0,28.0,1.0,708.0,4.0,3.0,6.0,1.0,14.0,15.0
318,69.0,28.0,1.0,734.0,4.0,3.0,6.0,1.0,13.0,15.0
