,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
4345,4285.2251163121055,102.93712432332121,653.8578307466466,5595.368173527077,178.48007164796005,1.0481945172946538e-12,116.8306606565403,7.075555419344681e-13,2277.2093676684262
4346,4141.484365130318,103.25353138704996,656.3822797739462,5687.054322680493,179.10477277378607,8.384230809621585e-13,117.26470624396408,7.004206242777755e-13,2126.188503039084
4347,3902.6382470006292,102.4763666900946,652.3664816482623,5577.659237252291,175.4284712469138,8.348478158781703e-13,114.71039284542887,7.225157971912921e-13,2089.650990225822
4348,3912.7123679669075,102.22169288957515,646.8987473831472,5529.755848761503,173.85038408653324,8.122894717965679e-13,115.44708934839261,7.244586874843861e-13,1953.4235385951838
4349,4036.0068934332367,102.1583079243708,655.2645846689079,5712.377471199936,171.56596167481746,9.584052301780943e-13,117.52210067253334,7.171884613965673e-13,1596.3253896780254
4350,4742.149042772969,103.48936773386853,667.8825616715579,5788.238990344117,175.2078202377216,1.0686486417998964e-12,118.27779413849693,7.221567094317649e-13,1610.2992342088044
4351,4910.53152112756,102.2383208502625,705.5168692777538,5771.763292967393,177.10038273960683,1.0246629933430285e-12,126.82919286022819,7.160088494329031e-13,1927.2297702836738
4352,5610.1774318038215,101.35293671645395,836.2234261925204,6034.177699175931,189.6039530906921,26.049523368209154,129.34567866936675,38.55897517013699,2171.6816324223764
4353,5862.461693036864,102.31035523679235,841.8684946574854,6232.028779990547,192.59553984017438,117.02348805028288,143.38681804330096,43.973460535445255,2321.513527258712
4354,5789.465944408173,101.56863635817457,835.4692000503596,6346.697221192184,194.47115693897527,149.4620862620887,139.590260904311,44.1716622568571,2578.264398809273
4355,5830.818864947361,101.18594844515057,882.2421564443082,6120.236153903071,193.63123151947647,17.222916840715513,137.85782676388675,43.957953422312904,2717.5780442376076
4356,5827.482658732585,103.20913802961249,873.3826537322398,6079.133419136027,195.4571851746867,7.938545654173623e-13,137.5855554267693,43.86576706407747,2789.801106016439
4357,5821.98206274681,103.37756956319299,813.1707904729737,5814.308202247564,196.91803060893827,9.55367729371659e-13,137.8563251073365,43.95744498741795,2747.1471045496883
4358,5778.276594713502,102.62113405817037,859.3610226754344,5656.107487880406,196.5667773615469,7.632644516419873e-13,138.4096385129156,2.321129126459058,2781.4745780750145
4359,5746.832009098941,102.25746855311576,842.609842868899,5555.038973081819,195.76951067738437,1.0476064460362977e-12,136.7215562668197,7.183281747202841e-13,2745.2645819365553
4360,5856.630037490017,103.22181510917366,917.8043382171448,5786.805649228598,195.66700780389542,9.376579374054117e-13,138.27934685738023,7.282004860220681e-13,2511.0779853018767
4361,5913.88551315923,103.079201775198,1093.7721493756412,6064.368866767764,190.93203125846182,26.258796291610466,136.9424762246053,7.220404829588745e-13,2293.2588012207107
