,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
438,12182.31371786163,69.21703482826877,175.40057062722798,1.427637652651847,336.11713179100155,8117.022018090552,131.67301908771563,0.0,3833.600504607872,5635.938768177074
439,16956.073148892585,328.54045150719804,175.47030750184888,1.4359694759930028,384.1856262995629,8616.536625299548,139.48075454831152,63.47234111848575,4102.132777063881,6149.284609397559
440,23455.519000391578,1051.6663610816668,175.46514891175732,513.972570264963,387.70166321778197,8572.351806130655,139.97380197005404,62.87522039738137,4211.129014279104,6231.333261594392
441,25341.917154162868,1327.6896569969324,175.42075570368416,909.0172303957703,533.0892214245526,8266.567590610914,135.99648407206988,447.55686266649286,3976.0029696884817,5953.513195550078
442,26067.38861717603,1256.1598135180886,175.40949961845894,630.2558089860335,537.0961662031998,8186.628040949143,134.71656247752722,1958.5192325081125,3573.900216780483,5960.79278082758
443,24689.216505779958,1274.6238361010774,175.41132808170957,625.6477363119071,516.9441565992329,8199.982791624872,134.92447575766386,3494.850989946347,3551.0884143693697,6216.979863188059
444,22937.69259490365,1290.5949766780248,175.425680458618,421.0238552717985,475.8150344251182,8302.730221665102,136.55647451778816,4375.816349491829,3901.133765321143,6429.913965253446
445,22718.466934166616,1233.7570807273953,175.42340698794064,471.774210769207,392.9028681309375,8114.304383046066,136.29795975413455,4327.6672574224485,3946.4550149538754,6539.82613819342
446,23234.19724927155,1224.4331522087346,175.43140174952626,569.5204176726904,381.3174225942531,7953.044932511348,136.16595391897425,3211.4212938324845,3800.506459308066,6463.976071533355
447,23492.04297903063,1222.0288610245145,175.43123731911265,569.4419345077714,384.8228722145532,7832.464187181814,135.10645970786416,2320.607899737734,3670.1462620637294,6494.483901413624
448,24667.34736432885,1223.2024106635326,175.43288702969153,583.7555581042252,496.51654492547203,7838.843218515382,135.2911611854579,938.3812284733082,3431.5831335131684,6289.247695213652
449,26662.21321798531,1468.9555005415498,175.4355349211638,488.0151386005404,893.9757948208731,8254.09700837198,135.58761892392178,94.49359489325845,3677.3966542679336,5577.135123045241
450,28754.999999999996,1702.2336279756732,175.39652571042046,1633.7028913004942,1007.1314071750809,8081.6712682171465,131.22015049144667,0.0,3386.763832855227,5198.671252139216
451,28621.47105663925,1716.1414505020005,175.38857178700607,863.0058593248508,991.287702803059,8032.522228246392,130.32962979408387,8.673617379884035e-19,3726.50639730921,5051.647665718047
452,27340.3421476352,1652.8101829138216,175.38792860482073,460.3992516617673,669.142043347595,8032.863986949322,130.25761916247882,0.0,3754.760419779887,5168.589425435725
453,25001.95209345473,995.9340134856404,175.39763499679069,717.1342139553952,591.1236781981889,8082.915913952743,131.3443461140983,1.734723475976807e-18,3815.6659986419427,4969.724166352562
454,21521.929450751373,779.519662389033,175.4005730218671,859.5507615579236,426.9342355834957,8076.243005232117,131.67328719133317,0.0,3783.139059114511,5072.051685899527
455,17842.97390565421,688.4846086466079,175.41707599705603,763.5864609507333,295.18097217457506,8161.901966003245,133.5209591093257,1.734723475976807e-18,3736.2403453879224,4964.455650964503
456,14707.161686462687,123.2281183530785,175.3980012056292,44.26264759196956,250.98556495031897,7997.008020576376,131.385346829453,0.0,3814.9549306721838,5097.16100008888
457,14038.03580441549,161.13656604086194,175.38455607374547,1.4257243115216416,246.7159981025017,7746.938308736894,129.88003082355613,8.673617379884035e-19,3692.121161289317,4941.789569233332
458,14551.64310691815,159.79509683265957,175.3764257721763,1.4247529425471581,244.29193089964284,7542.216770873364,128.96976283730865,8.673617379884035e-19,3340.1158207965877,4310.589457681181
459,14585.06710444034,155.09180382459593,175.34792031725596,1.4213472491324939,220.3221507812677,7203.919196171454,125.77829408875107,0.0,2881.1449063946975,3655.1037442368875
460,14481.11920796672,153.28464363916288,175.33696758239202,1.420038669525437,203.73950647216373,7002.6001528837905,124.55202661076042,4.336808689942018e-19,2503.2494003487996,3166.6076906203275
461,14791.279943839241,149.9842153195587,175.3169645366348,1.4176488026947252,202.61673017999482,6972.25877455943,122.31248639535988,0.0,1682.6004748848911,2555.2376017242927
462,15811.646470262653,154.12036818023742,175.34203269465414,1.4206438245571194,240.879186038618,7308.166530639963,125.11911625424005,4.336808689942018e-19,1236.0141752863872,2155.512828033608
463,18159.02279407535,390.2766149085454,175.43117417688688,1.43129401624365,379.82165346341503,7974.973715564352,135.09939030881424,0.0,942.8388548962574,2031.961745056969
464,21497.956378252267,969.4598372453688,175.44827954745855,227.8422687791058,476.92907137365677,8036.879692652144,137.01450636502798,63.44050463161003,610.1996490373043,1824.2122588130255
465,24749.2586314126,1494.9103006483251,175.43877646698888,444.9794851447136,725.2510903049131,8001.172804501007,135.95054216090313,87.65908889867869,272.3197937388362,1591.7715196295505
466,27323.803302067194,2428.858556712336,175.407770192084,1113.6716347750669,836.950741408994,7529.772709596486,132.4790818529203,328.0945194510268,148.8517459982837,1426.962852235314
467,28208.422663821017,3223.516312287324,175.39461567794106,1035.670835985654,775.1110970887479,7441.667376326972,131.00630339162436,716.2929625429283,146.1526830611695,1464.1058176022996
468,28244.640669255343,3783.2563597547073,175.38847492999477,945.1781477622068,723.655888764171,7372.4665944944845,130.31878569001017,967.0623248349717,165.72281973631837,1481.1941984093935
469,28039.95397503513,4214.585373913134,175.38254823085683,740.5253621447694,709.0046265873087,7129.312093656094,129.65523287659698,967.3342856160865,220.95540052585707,1531.5352139788345
470,27769.167159231558,4155.444907516513,175.38981456167522,528.399281250161,410.6216358498009,7153.655892223162,130.46877075739565,815.3887455684264,219.05600096646774,1674.7628886822026
471,26884.393763421158,3769.407499626826,175.3903057658126,711.2253524992371,794.8944552491041,6930.819229207838,130.52376593756156,912.5925888412611,229.27129181893562,1942.5931997048488
472,26775.401367621464,3868.337728718517,175.38882437718306,415.5092394010707,764.3634860362437,6971.963975856248,130.35790977228416,524.469097533581,258.7261583472126,2095.316138866764
473,27304.88288817456,4527.048552704523,175.39215184024812,449.0257054138983,810.6220036538441,7252.982667137965,130.73045229956523,84.43031408878909,411.6227416421809,2256.2055389316283
474,27920.78758490194,5363.803195707462,175.36790363974646,2080.5803398952835,1001.7509669851864,7270.483142440181,128.0156254921037,62.781522853393746,618.8542206976157,2238.9342550764754
475,27879.35162900342,5074.5949329302,175.3636519943619,2083.463550073166,885.8889484997862,7251.490135865655,127.53961157309678,62.2366582259474,904.2091077991132,2135.0763208998187
476,27187.267973957714,4416.152528070277,175.36015075669602,728.6955787815599,600.7758051727293,7213.134916724519,127.14761324837967,0.0,1116.644022250422,2053.563053832634
477,26304.79467631055,2909.1135850697287,175.36876720628442,515.3750681514834,461.7795877342671,7277.110345756723,128.11231034093993,0.0,1235.6675039371917,1892.9597322380375
478,23576.67360748083,2661.1894538317224,175.38221155423682,845.2789144812484,389.4906879952669,7355.260594230586,129.61753858616157,1.734723475976807e-18,1307.3502752103236,1660.2786962922617
479,21804.241696770725,1535.9659968961844,175.39852439222767,372.6867930606362,304.38481555897386,7464.69916454032,131.4439227635714,1.734723475976807e-18,1591.6536498904675,1660.9674613391376
480,20102.68022527257,615.7172955863675,175.42110302467236,135.341173943061,268.6717821979804,7558.763201866397,133.97182483171864,1.734723475976807e-18,1456.4794579923685,1609.2965139026512
481,19252.605019088816,684.0950402510558,175.40182536598755,43.01758338917144,240.70697044307303,7232.226416880527,131.81349954936002,0.0,1345.4293992603439,1479.2924369983868
482,19330.091464812172,343.2992994959331,175.36169803175994,1.4229933435970972,229.74910682422785,6981.278799230264,127.32084605671136,0.0,1062.5885142772531,1404.1847781031256
483,18576.81720259144,75.05949475528551,175.32452341205843,1.4185519004465212,218.93039799310367,6751.330518175264,123.15877798459346,2.168404344971009e-19,917.0410557569015,1353.4688949097695
484,17757.166469110165,67.4813263318622,175.30785591017937,1.4165605482107084,215.58177240804088,6758.122763590445,121.29268532639846,0.0,721.6552229334208,1291.8695298201044
485,16996.56903019568,67.48132633150728,175.3078559059218,1.416560547702031,210.47924525002134,6894.243741448867,121.29268532573597,0.0,522.9911504794298,1529.8745289643243
486,16485.665313485628,67.48132633181922,175.30785590964794,1.416560548147214,228.9759061965991,6894.744186220718,121.29268532631818,1.0842021724855044e-19,359.59288970437194,1844.0880253723872
487,16432.396209161092,247.22789429228783,175.3286220162262,1.4190415817816338,288.0282777037289,7023.27731090167,123.61765751180143,4.336808689942018e-19,517.1607655764926,2499.85786900441
488,16866.8111047873,646.2458443115771,175.38286235589123,1.4255219543321658,352.1655245438486,7370.1660444488525,129.69040229311094,0.0,765.8048634870778,3456.928600341632
489,18328.30895959373,974.5916397125673,175.46631338307026,229.7612352751156,476.70951613042445,7903.980200032852,139.03357329835578,80.58312616526109,1157.0195409605074,4322.3374048203705
