,Biomass,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
89,1.06314956838105e-12,3398.8777718298043,131.86151109269787,1956.3553268919193,9.865185925106434e-12,6.679101716144942e-13
90,1.0667022820598504e-12,3388.3975548400167,153.43892131158518,1898.067827028218,9.842742940135984e-12,5.968558980384842e-13
91,1.0809131367750524e-12,3461.2594460773425,113.12069526249466,1814.1016594184216,9.861843980329965e-12,6.394884621840902e-13
92,1.0835776720341528e-12,3598.929851845541,3.982572951977126e-12,1704.070895842344,1.354116818674811e-11,6.536993168992922e-13
93,1.0969003483296547e-12,3449.855313300563,3.942571963344577e-12,1775.364183284221,2.346567384847731e-11,5.613287612504791e-13
94,1.085354028873553e-12,3399.7203924003666,4.02881113886755e-12,1715.282315473423,2.0271784251235658e-11,5.933031843596837e-13
95,1.098676705169055e-12,3316.7914279151482,4.114376374320106e-12,1713.766193580849,9.866885086751154e-12,5.506706202140776e-13
96,1.077360423096252e-12,3345.172775640508,4.031759301414972e-12,1594.2575492935982,9.881119360233281e-12,5.471179065352771e-13
97,1.0977885267493548e-12,3266.9099285008274,3.9929973390251394e-12,1266.4436900764777,9.858095676579248e-12,5.790923296444817e-13
98,1.0889067425523535e-12,3175.464356048941,3.928342839822768e-12,1219.0266827909202,9.85111384826931e-12,5.648814749292796e-13
99,1.0818013151947525e-12,3170.4643560489326,4.0110649719184155e-12,1013.0266827909119,9.844282507220914e-12,6.004086117172847e-13
100,1.092459456231154e-12,3205.4643560489253,3.963061866521511e-12,921.0266827909048,9.860928696855953e-12,5.790923296444817e-13
101,1.091571277811454e-12,3222.464356048953,3.948748175230249e-12,974.0266827909329,9.84326362822932e-12,6.146194664324867e-13
102,1.0880185641326534e-12,3355.5676172670264,3.99528240352387e-12,1090.9777906092866,9.8680551577357e-12,5.542233338928781e-13
103,1.0826894936144527e-12,3326.9049993580284,4.06171450639814e-12,1638.4005336276416,9.875695964126074e-12,5.968558980384842e-13
104,1.0897949209720537e-12,3416.4643561060093,4.07265757576547e-12,1753.0266828487509,9.859449845092683e-12,6.146194664324867e-13
105,1.06403774680075e-12,3447.2621792855066,3.971146220020649e-12,1875.85512726367,9.863507796983861e-12,5.613287612504791e-13
106,1.0951239914902544e-12,3444.532236774674,4.849454171562684e-12,1909.2801037890097,1.8246737454319373e-11,6.004086117172847e-13
107,1.091571277811454e-12,3349.5187656787134,113.17798235163555,1775.6437058146887,2.403766075076419e-11,5.790923296444817e-13
108,1.0933476346508542e-12,3443.5454786773957,0.4917064670801068,1718.2172298128285,9.862944879215907e-12,5.968558980384842e-13
109,1.0764722446765518e-12,3427.3841847186477,4.11990862432543e-12,1839.3059162133986,9.850955121071259e-12,5.435651928564766e-13
110,1.06403774680075e-12,3404.1047539791484,4.045745292599601e-12,1769.2897420088611,9.807276952350508e-12,5.577760475716786e-13
111,1.0897949209720537e-12,3444.2974614453933,5.645262035613996e-12,1812.278891446729,9.871599414637555e-12,5.861977570020827e-13
112,1.0871303857129533e-12,3502.7694676500814,177.88144733075814,1890.4909621479665,16.085777459774285,5.400124791776761e-13
113,1.0862422072932532e-12,3492.1826578883733,211.2922085154276,1894.5430685608362,209.75342175065384,5.861977570020827e-13
114,1.0951239914902544e-12,3505.839814395936,209.38447176012738,1891.5047999315104,269.59616822834636,5.968558980384842e-13
115,1.0897949209720537e-12,3423.041520652994,208.91041223897258,1896.5241718263028,282.17713702896924,5.755396159656812e-13
116,1.098676705169055e-12,3529.38688966996,109.79758830259634,1972.0922801038387,3.2589042575636995e-11,5.435651928564766e-13
117,1.0933476346508542e-12,3580.7804750178107,4.0640511789202804e-12,1828.607473647886,1.7408297026122455e-11,5.968558980384842e-13
118,1.0835776720341528e-12,3537.356877571313,4.069477393953136e-12,1645.5732549637244,1.2449596908936655e-11,6.288303211476887e-13
119,1.0587086762825493e-12,3494.4130844079787,4.063666070308614e-12,1587.9948777678978,9.88882933872226e-12,5.506706202140776e-13
120,1.098676705169055e-12,3524.9158826472403,4.063315656166466e-12,1340.1254228216899,9.841016890277388e-12,5.861977570020827e-13
121,1.0818013151947525e-12,3390.92183828629,4.036953930863785e-12,1154.8265749449495,9.810091107509411e-12,6.110667527536862e-13
122,1.0818013151947525e-12,3180.4643560512827,3.98149308661333e-12,1000.026682793262,9.857437294810006e-12,6.288303211476887e-13
123,1.0862422072932532e-12,3182.4643560489812,4.000786735323253e-12,899.0266827909609,9.836124482184155e-12,5.577760475716786e-13
124,1.085354028873553e-12,3191.4643560489994,3.955774347409041e-12,794.026682790979,9.897136875238605e-12,5.755396159656812e-13
125,1.0826894936144527e-12,3202.464356048987,3.976256715380877e-12,835.0266827909666,9.859606349676281e-12,5.648814749292796e-13
126,1.0880185641326534e-12,3207.4643560489067,4.002988749935571e-12,1306.0266827908858,9.839854246077723e-12,5.542233338928781e-13
