,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
5419,362.0,0.0,5823.0,3656.0,332.0,924.0,1768.0,6960.0,55.0,101.0,1646.0,299.0,7049.0
5420,362.0,0.0,6125.0,3780.0,321.0,935.0,2850.0,6964.0,55.0,100.0,847.0,300.0,6981.0
5421,363.0,0.0,6352.0,3726.0,329.0,919.0,2641.0,6962.0,55.0,102.0,680.0,300.0,6996.0
5422,362.0,0.0,5418.0,3419.0,329.0,896.0,1199.0,6966.0,55.0,101.0,661.0,302.0,7048.0
5423,364.0,0.0,5035.0,2990.0,310.0,819.0,942.0,6973.0,55.0,99.0,661.0,303.0,6964.0
5424,359.0,0.0,4763.0,2592.0,310.0,794.0,816.0,6969.0,55.0,99.0,661.0,304.0,6750.0
5425,358.0,0.0,4671.0,2453.0,305.0,764.0,491.0,6976.0,55.0,97.0,639.0,315.0,6314.0
5426,356.0,0.0,4438.0,2364.0,281.0,743.0,555.0,6978.0,57.0,99.0,603.0,319.0,6118.0
5427,359.0,0.0,4025.0,2272.0,266.0,754.0,517.0,6984.0,58.0,98.0,591.0,322.0,5827.0
5428,358.0,0.0,3978.0,2226.0,276.0,752.0,545.0,6988.0,58.0,97.0,567.0,322.0,5529.0
5429,361.0,0.0,4123.0,2285.0,276.0,765.0,715.0,6991.0,58.0,94.0,357.0,323.0,5008.0
5430,374.0,0.0,4083.0,2262.0,276.0,770.0,633.0,6990.0,58.0,96.0,187.0,327.0,4583.0
5431,387.0,0.0,4086.0,2369.0,277.0,802.0,768.0,6989.0,59.0,97.0,709.0,325.0,3977.0
5432,389.0,0.0,3811.0,2566.0,277.0,853.0,1200.0,6985.0,59.0,95.0,2083.0,329.0,3456.0
5433,391.0,0.0,3924.0,2810.0,273.0,880.0,1217.0,6975.0,59.0,96.0,3830.0,326.0,2650.0
5434,395.0,0.0,4283.0,3324.0,277.0,908.0,1335.0,6965.0,59.0,95.0,4603.0,325.0,2119.0
5435,393.0,0.0,4264.0,3598.0,276.0,921.0,1936.0,6953.0,59.0,96.0,5048.0,324.0,1787.0
5436,390.0,0.0,4319.0,3674.0,275.0,927.0,2486.0,6941.0,59.0,97.0,5242.0,325.0,1613.0
5437,385.0,0.0,4380.0,3664.0,273.0,898.0,2712.0,6937.0,58.0,96.0,5261.0,325.0,1666.0
