,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
3444,2306.0,18093.0,50.0,0.0,315.5,129.0,6150.0,110.5,5527.5,1102.0,1734.5
3445,2328.5,17667.0,50.0,0.0,521.0,103.5,6030.0,90.0,5668.5,990.5,1702.5
3446,2331.0,17651.0,50.0,0.0,356.0,103.0,5954.0,90.0,5001.5,967.5,1654.0
3447,2331.5,18163.5,50.0,0.0,374.5,106.0,5975.5,90.0,4275.0,892.0,1667.5
3448,2330.0,18639.5,75.0,0.0,419.0,312.0,6042.5,121.0,3267.5,1124.5,1601.0
3449,2313.5,19240.5,87.0,0.0,717.5,503.5,6199.0,128.0,2439.5,1253.0,1598.0
3450,2244.0,19342.0,87.0,6.5,441.5,616.0,6227.5,130.0,1607.5,1231.5,1587.5
3451,2279.0,19196.5,87.0,2.5,429.0,533.5,6237.5,129.0,865.0,1201.5,1497.0
3452,2267.0,18983.5,87.0,0.0,463.0,345.5,6233.0,102.0,320.0,1148.0,1394.0
3453,2272.0,18345.5,87.0,0.0,299.5,284.5,6238.0,103.0,57.0,1423.5,1540.0
3454,2266.5,16613.0,63.0,0.0,588.0,125.0,6237.5,103.0,2.5,1248.0,1530.0
3455,2248.0,13753.5,50.0,0.0,0.0,92.0,6238.0,117.0,0.0,1192.0,1449.5
3456,2267.0,11568.5,50.0,0.0,0.0,85.5,6131.0,130.0,0.0,1104.5,1382.0
3457,2277.5,10456.0,50.0,0.0,0.0,70.5,6037.5,130.5,0.0,1047.5,1222.0
3458,2277.5,10179.0,50.0,0.0,0.0,67.5,6036.0,131.0,0.0,1027.5,1232.0
3459,2283.5,9626.0,50.0,0.0,0.0,66.0,6069.0,129.5,0.0,913.0,1269.0
3460,2272.5,9236.0,50.0,0.0,0.0,63.5,6104.0,130.0,2.5,946.5,1377.5
3461,2250.5,8939.5,52.5,0.0,0.0,62.0,6212.5,130.5,86.5,1025.0,1512.5
3462,2258.0,10730.5,116.0,0.0,0.0,140.0,6369.0,130.5,331.0,1055.5,1726.0
3463,2310.5,15130.0,331.5,0.0,440.5,222.0,6390.0,129.0,731.5,821.0,1883.0
3464,2320.0,17930.0,467.0,0.0,621.5,493.0,6407.0,130.0,1170.0,668.5,2003.0
3465,2341.0,18561.0,420.0,0.0,609.0,466.0,6416.0,130.5,1630.0,669.5,2070.5
3466,2342.5,18310.0,521.5,0.0,502.0,393.5,6444.5,130.5,2100.0,719.0,2372.5
3467,2339.0,18218.0,550.0,0.0,354.5,262.0,6434.0,129.5,2530.0,762.5,2766.5
3468,2347.5,17147.0,548.5,0.0,331.0,172.5,6445.0,128.5,2820.0,883.0,3227.0
3469,2343.0,15998.5,542.0,0.0,369.0,124.0,6447.0,130.0,2715.0,968.0,3640.5
3470,2337.0,15932.5,278.0,0.0,340.5,117.5,6445.5,130.0,2565.0,471.5,2790.5
3471,2335.5,15772.5,277.5,0.0,302.0,130.5,6449.0,129.5,2255.0,900.0,3832.5
3472,2341.5,16160.0,277.5,0.0,300.5,254.5,6382.5,130.0,1930.0,927.0,3894.5
3473,2306.5,16542.5,299.5,0.0,316.5,312.5,6264.0,129.5,1595.0,1071.0,3738.0
3474,2287.0,16389.5,315.5,0.0,367.5,334.0,6275.0,130.0,1024.0,925.0,3598.5
3475,2288.0,16214.0,277.0,0.0,369.5,224.5,6314.5,129.0,510.5,1032.5,3172.5
3476,2289.0,15785.5,47.0,0.0,449.5,212.5,6476.5,129.5,112.0,943.5,3066.5
3477,2279.5,15414.5,47.0,0.0,287.5,176.0,6503.5,130.0,6.5,1167.0,2939.0
3478,2256.0,13561.0,177.5,0.0,324.5,89.0,6498.5,130.5,2.0,1098.5,2623.0
3479,2111.0,11198.0,291.5,0.0,0.0,65.5,6504.0,131.5,0.0,959.5,2615.0
3480,2285.0,9359.0,288.5,0.0,0.0,64.0,6498.5,131.0,0.0,960.5,2428.5
3481,2288.5,8443.0,290.0,0.0,0.0,64.0,6512.0,131.5,0.0,943.0,2021.0
3482,2286.5,8061.0,289.0,0.0,0.0,64.0,6512.0,131.5,1.0,929.5,1848.5
3483,2290.0,7600.0,288.0,0.0,0.0,64.0,6398.5,131.0,1.0,833.0,1920.0
3484,2277.5,6770.0,288.0,0.0,0.0,63.5,6316.0,131.5,1.0,947.0,2151.5
3485,2140.0,6387.5,290.5,0.0,0.0,76.0,6320.0,130.5,44.5,1167.0,2117.5
3486,2198.5,6552.0,405.5,0.0,0.0,159.5,6337.5,131.0,350.5,1231.0,2129.0
3487,2288.0,7617.0,661.0,0.0,162.0,175.0,6490.0,129.5,886.5,1279.0,1993.0
3488,2288.0,9161.0,783.5,0.0,341.5,336.0,6519.0,129.5,1670.0,1552.0,2276.5
3489,2281.5,10066.5,942.5,0.0,436.0,340.5,6535.5,130.0,2635.0,1547.5,2617.5
3490,2293.0,9356.0,947.5,0.0,389.5,273.0,6531.5,130.0,3860.0,1571.5,2713.0
3491,2284.5,8806.5,830.0,0.0,346.0,186.0,6524.0,129.5,4885.0,1900.5,2847.0
3492,2256.0,7768.5,886.0,0.0,300.5,150.0,6527.0,127.5,5865.0,2162.5,2883.0
3493,2247.0,6802.0,860.5,0.0,363.5,84.5,6533.5,128.5,6460.0,2226.5,2961.0
3494,2243.5,5835.5,408.5,0.0,324.5,82.5,6551.5,129.5,6530.0,2311.0,3198.0
3495,2228.0,5389.0,291.5,0.0,323.0,82.5,6360.0,129.0,5955.0,2503.5,3479.5
3496,2245.0,5271.5,291.0,0.0,341.5,81.0,6355.5,128.5,4920.0,2618.0,3986.5
3497,2082.0,5782.5,291.0,0.0,373.0,271.0,6355.5,130.0,3485.0,2855.5,4345.5
3498,2205.0,6811.0,171.0,0.0,487.5,385.0,6406.0,129.5,2075.0,2988.5,4231.5
3499,2284.0,7032.0,52.0,0.0,425.0,401.0,6561.0,130.0,951.0,1565.0,3158.5
3500,2284.0,7230.5,47.0,0.0,461.5,276.5,6567.5,129.0,213.0,2771.5,3936.0
3501,2291.5,7199.5,47.0,0.0,333.0,203.0,6576.0,129.5,5.5,2798.5,3983.0
3502,2208.0,9717.5,51.75,0.0,430.5,200.5,6725.0,112.75,1.0,2741.5,4057.5
3503,2296.5,4969.0,47.0,0.0,87.5,84.0,6568.5,130.5,0.0,2778.5,4252.5
3504,1992.0,3724.0,47.0,0.0,0.0,84.0,6577.0,90.0,0.0,2794.0,3794.5
3505,2024.5,3747.0,47.0,0.0,0.0,85.5,6596.0,90.5,0.0,3044.5,3576.0
3506,2048.5,4314.0,49.5,0.0,0.0,75.0,6684.0,90.5,1.0,3072.5,3416.0
3507,2217.5,4324.5,50.0,0.0,0.0,58.0,6739.5,90.0,2.5,3156.0,3780.0
3508,2253.5,4425.0,50.0,0.0,0.0,57.0,6732.5,90.5,2.0,3337.0,3980.5
3509,2277.0,4210.0,50.0,0.0,0.0,55.5,6745.5,90.5,135.5,3313.0,4112.5
3510,2279.0,4156.0,50.0,0.0,0.0,141.0,6747.5,89.5,693.0,3400.0,4274.5
3511,2276.5,3622.5,50.0,0.0,50.0,210.5,6750.5,90.0,1480.0,3452.0,4016.5
3512,2125.0,3732.0,50.0,0.0,289.0,367.0,6753.5,90.0,2465.0,3263.5,3974.5
3513,2276.0,4542.0,50.0,0.0,720.0,415.0,6768.0,90.0,3585.0,3193.0,3865.5
