,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> UK,NL -> UK,demand,UK -> FR,UK -> NL,mismatch
199,877.18957,25907.36244,4754.341707,689.12837,9982.700686,117.2162274,1.288090411,1910.23808,5926.503982,1478.986784,1023.21,52668.13,1.29E-10,0.035935999,9.55E-12
200,732.8042093,28315.05358,5555.532766,757.8573446,9700.574011,113.9917659,62.6328384,1990.471604,5764.726446,1864.962282,1019.24,55877.81,1.46E-10,0.036851396,1.91E-12
201,775.7931508,30203.33674,6606.075915,762.6441143,10182.61383,119.6562317,55.22595311,1041.403687,4569.290168,2600.866567,281.13,57198.01,1.20E-10,0.026352139,2.29E-12
202,840.4416786,28914.42621,6708.614346,738.4946111,9520.861501,113.1363798,223.7862458,1878.561208,6180.230154,2457.779638,259.12,57835.42,1.60E-10,0.031973793,4.76E-12
203,836.4853578,29049.74848,7407.992942,676.8038652,9401.554962,111.7770449,357.4408798,1718.418525,6131.769319,2434.992995,233.78,58360.73,1.69E-10,0.034368297,2.21E-12
204,830.4215767,28778.19267,7778.647926,657.2646547,9360.229108,110.9667599,428.0146453,1641.332514,6125.121262,2441.355994,224.89,58376.4,1.66E-10,0.037114373,3.82E-13
205,821.989326,28720.13807,7516.193147,598.6882609,9286.910241,109.8399834,666.2820968,1494.306587,6182.42192,2425.711577,200.56,58023,1.73E-10,0.041204573,5.83E-12
206,825.5822716,29055.40426,7004.720066,613.428237,9325.07905,110.320098,174.5724627,1634.19222,6331.8887,2422.537345,255.46,57753.14,1.74E-10,0.044712584,2.83E-12
207,829.9309391,29411.97252,6746.692627,654.4389344,9385.166171,110.9011974,29.24866746,1559.928931,6411.551646,2409.68924,705.01,58254.48,1.81E-10,0.050872225,-7.07E-13
208,828.0645219,29741.72573,7232.090144,956.6840113,9459.044731,111.4702241,0.022494752,1472.386916,6530.195216,2366.678289,790.33,59488.64,2.02E-10,0.052275522,6.06E-13
209,830.9733597,29627.49005,7243.602087,1720.431648,9408.762879,110.877677,0.021843601,1315.910892,6599.049437,2381.265917,1017.59,60255.92,1.95E-10,0.055792287,7.60E-12
210,825.1601014,29208.48975,8084.633135,1000.597366,9355.040915,110.1020077,0.020991217,1335.743038,6171.76199,2424.817041,1015.58,59531.89,1.73E-10,0.056335652,-3.76E-12
211,821.926168,29130.31311,7147.393051,916.8562371,9324.776409,109.3498264,0.020164645,1510.469581,5937.335082,2444.304735,1031.58,58374.27,1.65E-10,0.054359631,-1.56E-12
212,821.2683724,28060.00273,5084.722445,780.8000758,9239.864312,108.3122056,0.019024402,1906.770917,5441.79565,2445.629087,1015.5,54904.63,1.65E-10,0.054814376,9.99E-13
213,828.4174882,24381.18366,3563.623505,821.2759581,9186.38818,108.3132061,0.019025501,2068.66321,5140.711396,2379.950303,1030.44,49508.93,1.95E-10,0.05593247,-5.91E-12
214,830.6805055,20164.61987,2868.536997,676.4966419,9156.609141,108.7653612,0.019522375,1795.226071,4877.708119,2413.675785,1007.99,43900.26,1.79E-10,0.068012526,6.96E-12
215,812.299292,16879.34384,2124.927858,211.9041631,9017.699387,107.1293269,0.017724535,1810.603349,4392.302404,2451.602284,1043.55,38851.29,1.63E-10,0.089627652,-3.11E-12
216,833.7490577,15844.31477,2042.554418,178.7719058,9115.3821,109.3672504,0.020250552,2016.191369,4290.169839,2438.537642,1023,37891.99,1.51E-10,0.06860127,1.70E-12
217,834.0435738,15829.43391,2074.742737,166.3374404,9018.908301,108.1065805,0.018860618,2064.682872,3900.159624,2417.729551,1022.94,37437.04,1.57E-10,0.063447836,9.35E-12
218,827.7158975,15544.80785,2120.020862,155.6866927,8961.423234,107.4929324,0.01814404,1908.815129,3388.207739,2395.457151,1023.12,36432.7,1.65E-10,0.065631194,1.27E-12
219,825.7740593,15376.75969,2081.480907,149.6082576,8911.819445,106.9007988,0.017511893,1704.348495,3104.422985,2347.693982,1023.13,35631.88,1.90E-10,0.076132555,-5.34E-12
220,831.5095215,15404.34825,2068.680702,148.2631156,8970.986296,107.5583783,0.018256206,1662.596535,2624.575009,2320.385336,1022.89,35161.73,2.07E-10,0.081398885,-9.78E-13
221,860.721096,16864.85165,2256.083023,157.6867718,9259.880803,111.1020985,0.022138875,1783.079315,2429.718728,2318.871685,1024.84,37066.79,2.12E-10,0.067313386,1.37E-11
222,935.0505822,21289.60538,3600.152275,263.0668845,10021.27752,120.7401556,0.130869772,1952.617817,2596.889229,2518.014875,1032.81,44330.31,1.31E-10,0.045587878,-5.63E-13
